id,user_id,username,event,details,ip,ts
84,2,hs1,login,success,192.168.92.1,2025-09-22T23:57:02+07:00
83,3,hs2,login,success,192.168.92.144,2025-09-22T23:47:42+07:00
82,2,hs1,login,success,192.168.92.144,2025-09-22T23:43:34+07:00
81,9,hs44,flash_end,firmware=C:\Users\Administrator\Documents\Pycharm\Server\firmwares\hs44\Partitons.ino_1.bin;port=COM3;chip=esp32;baud=115200;offset=0x190000;rc=0;stdout_len=1658;stderr_len=0,192.168.92.144,2025-09-22T23:42:58+07:00
80,9,hs44,flash_start,cmd=C:\Users\Administrator\Documents\Pycharm\Server\.venv1\Scripts\python.exe -m esptool --chip esp32 --port COM3 --baud 115200 write_flash 0x190000 C:\Users\Administrator\Documents\Pycharm\Server\firmwares\hs44\Partitons.ino_1.bin,192.168.92.144,2025-09-22T23:42:41+07:00
79,9,hs44,upload,file=C:\Users\Administrator\Documents\Pycharm\Server\firmwares\hs44\Partitons.ino_1.bin;firmware_id=17,192.168.92.144,2025-09-22T23:42:34+07:00
78,9,hs44,flash_end,firmware=C:\Users\Administrator\Documents\Pycharm\Server\firmwares\hs44\Partitons.ino.bin;port=COM3;chip=esp32;baud=115200;offset=0x190000;rc=0;stdout_len=1657;stderr_len=0,192.168.92.144,2025-09-22T23:41:41+07:00
77,9,hs44,flash_start,cmd=C:\Users\Administrator\Documents\Pycharm\Server\.venv1\Scripts\python.exe -m esptool --chip esp32 --port COM3 --baud 115200 write_flash 0x190000 C:\Users\Administrator\Documents\Pycharm\Server\firmwares\hs44\Partitons.ino.bin,192.168.92.144,2025-09-22T23:41:25+07:00
76,9,hs44,upload,file=C:\Users\Administrator\Documents\Pycharm\Server\firmwares\hs44\Partitons.ino.bin;firmware_id=16,192.168.92.144,2025-09-22T23:41:20+07:00
75,9,hs44,login,success,192.168.92.144,2025-09-22T23:41:16+07:00
74,5,hs4,login_failed,bad password,192.168.92.144,2025-09-22T23:40:16+07:00
73,5,hs4,login_failed,bad password,192.168.92.144,2025-09-22T23:39:49+07:00
72,5,hs4,login_failed,bad password,192.168.92.144,2025-09-22T23:39:44+07:00
71,4,hs3,flash_end,firmware=C:\Users\Administrator\Documents\Pycharm\Server\firmwares\hs3\Partitons.ino_2.bin;port=COM3;chip=esp32;baud=115200;offset=0x110000;rc=0;stdout_len=1659;stderr_len=0,192.168.92.144,2025-09-22T23:38:59+07:00
70,4,hs3,flash_start,cmd=C:\Users\Administrator\Documents\Pycharm\Server\.venv1\Scripts\python.exe -m esptool --chip esp32 --port COM3 --baud 115200 write_flash 0x110000 C:\Users\Administrator\Documents\Pycharm\Server\firmwares\hs3\Partitons.ino_2.bin,192.168.92.144,2025-09-22T23:38:43+07:00
69,4,hs3,upload,file=C:\Users\Administrator\Documents\Pycharm\Server\firmwares\hs3\Partitons.ino_2.bin;firmware_id=15,192.168.92.144,2025-09-22T23:38:38+07:00
68,4,hs3,login,success,192.168.92.144,2025-09-22T23:38:17+07:00
67,3,hs2,flash_end,firmware=C:\Users\Administrator\Documents\Pycharm\Server\firmwares\hs2\Partitons.ino_1.bin;port=COM3;chip=esp32;baud=115200;offset=0x90000;rc=0;stdout_len=1657;stderr_len=0,192.168.92.144,2025-09-22T23:36:19+07:00
66,3,hs2,flash_start,cmd=C:\Users\Administrator\Documents\Pycharm\Server\.venv1\Scripts\python.exe -m esptool --chip esp32 --port COM3 --baud 115200 write_flash 0x90000 C:\Users\Administrator\Documents\Pycharm\Server\firmwares\hs2\Partitons.ino_1.bin,192.168.92.144,2025-09-22T23:36:03+07:00
65,3,hs2,upload,file=C:\Users\Administrator\Documents\Pycharm\Server\firmwares\hs2\Partitons.ino_1.bin;firmware_id=14,192.168.92.144,2025-09-22T23:35:58+07:00
64,3,hs2,login,success,192.168.92.144,2025-09-22T23:35:52+07:00
63,2,hs1,flash_end,firmware=C:\Users\Administrator\Documents\Pycharm\Server\firmwares\hs1\Partitons.ino_4.bin;port=COM3;chip=esp32;baud=115200;offset=0x10000;rc=0;stdout_len=1658;stderr_len=0,192.168.92.144,2025-09-22T23:34:50+07:00
